l_name,l_team,l_pos,l_gp,l_points,l_owners,l_proj,l_actual,l_passyd,l_passtd,l_passint,l_rushyds,l_rushtd,l_rush1st,l_recepts,l_recyds,l_rectd,l_rec1st,l_touchdown,l_points1,l_points2,l_points3,l_points4,l_points5,l_points6,l_points7,l_points8,l_owners18,l_actual18,l_pointspg18,l_passydpg18,l_passtdpg18,l_passintpg18,l_rushydpg18,l_rushtdpg18,l_rush1stpg18,l_2ptpg18,l_fumblepg18,l_touchdown18,l_runnerQB18,l_pointspg17,l_passydpg17,l_passtdpg17,l_passintpg17,l_rushydpg17,l_rushtdpg17,l_rush1stpg17,l_2ptpg17,l_fumblepg17,l_touchdown17,l_runnerQB17
Gus Edwards,Bal,RB,1,9.60,3%,304,173,0,0,0,56,0,4,0,0,0,0,0,9.60,1.10,13.30,7.33,6.10,5.40,5.50,-,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Howard,Phi,RB,1,9.13,79%,170,179,0,0,0,44,0,2,2,11,0,0,0,9.13,5.33,10.70,36.57,14.20,5.90,10.40,19.60,,,,,,,,,,,,,,,,,,,,,,,,
Kenjon Barner,Atl,RB,1,9.00,0%,418,180,0,0,0,0,0,0,0,0,0,0,0,9.00,1.20,6.77,0,0,4.10,6.50,3.10,,,,,,,,,,,,,,,,,,,,,,,,
Justin Jackson,LAC,RB,1,8.97,42%,127,183,0,0,0,57,0,2,1,4,0,0,0,8.97,9.23,7.87,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Royce Freeman,Den,RB,1,8.93,82%,213,184,0,0,0,56,0,2,1,5,0,0,0,8.93,18.60,12.97,10.87,10.50,13.20,16.63,12.33,,,,,,,,,,,,,,,,,,,,,,,,
Giovani Bernard,Cin,RB,1,8.90,13%,240,185,0,0,0,21,0,1,2,42,0,1,0,8.90,3.47,2.97,6.37,8.07,4.73,2.27,8.03,,,,,,,,,,,,,,,,,,,,,,,,
Tevin Coleman,SF,RB,1,8.50,92%,83,190,0,0,0,23,0,1,2,33,0,1,0,8.50,0,0,-,18.70,15.57,10.13,39.37,,,,,,,,,,,,,,,,,,,,,,,,
Peyton Barber,TB,RB,1,8.10,58%,115,194,0,0,0,33,0,2,2,12,0,0,0,8.10,17.67,9.27,6.90,10.13,3.80,-,5.53,,,,,,,,,,,,,,,,,,,,,,,,
Ito Smith,Atl,RB,1,7.70,21%,188,199,0,0,0,31,0,3,1,9,0,0,0,7.70,8.07,0,12.43,12.90,7.50,0.70,0,,,,,,,,,,,,,,,,,,,,,,,,
David Montgomery,Chi,RB,1,7.60,97%,110,200,0,0,0,18,0,2,1,27,0,1,0,7.60,15.60,13.63,11.23,10.23,-,1.47,32.30,,,,,,,,,,,,,,,,,,,,,,,,
D'Ernest Johnson,Cle,RB,1,7.13,0%,340,205,0,0,0,13,0,0,2,23,0,0,0,7.13,7.60,0,1.30,1.40,0,-,0,,,,,,,,,,,,,,,,,,,,,,,,
Derrius Guice,Was,RB,1,7.13,87%,108,206,0,0,0,18,0,0,3,20,0,1,0,7.13,7.13,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Raheem Mostert,SF,RB,1,7.00,0%,363,211,0,0,0,40,0,2,1,0,0,0,0,7.00,30.83,6.90,-,4.40,2.30,0,12.00,,,,,,,,,,,,,,,,,,,,,,,,
Alexander Mattison,Min,RB,1,6.90,21%,338,212,0,0,0,49,0,2,0,0,0,0,0,6.90,4.50,12.80,3.03,7.20,6.30,1.80,10.30,,,,,,,,,,,,,,,,,,,,,,,,
Matt Breida,SF,RB,1,6.70,83%,102,214,0,0,0,37,0,3,0,0,0,0,0,6.70,18.83,14.13,-,30.40,13.40,6.57,8.50,,,,,,,,,,,,,,,,,,,,,,,,
Nyheim Hines,Ind,RB,1,6.57,48%,135,217,0,0,0,13,0,1,4,4,0,0,0,6.57,3.23,7.03,12.20,9.97,-,3.17,8.47,,,,,,,,,,,,,,,,,,,,,,,,
Dare Ogunbowale,TB,RB,1,6.20,9%,260,221,0,0,0,0,0,0,4,33,0,0,0,6.20,1.60,4.53,4.07,7.30,10.77,-,2.00,,,,,,,,,,,,,,,,,,,,,,,,
T.J. Logan,TB,RB,1,6.00,0%,322,225,0,0,0,0,0,0,0,0,0,0,0,6.00,0,0,3.40,1.90,0,-,9.20,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Jones,GB,RB,1,5.90,99%,65,232,0,0,0,39,0,1,1,0,0,0,0,5.90,28.87,15.17,17.57,51.70,8.57,24.20,47.30,,,,,,,,,,,,,,,,,,,,,,,,
