l_name,l_team,l_pos,l_proj,l_actual,l_points1,l_points2,l_points3,l_points4,l_points5,l_points6,l_points7,l_points8,l_ppgcurrent,l_pointspg18,l_passydpg18,l_passtdpg18,l_passintpg18,l_rushydpg18,l_rushtdpg18,l_rush1stpg18,l_touchdown18,l_runnerQB18,l_pointspg17,l_passydpg17,l_passtdpg17,l_passintpg17,l_rushydpg17,l_rushtdpg17,l_rush1stpg17,l_2ptpg17,l_fumblepg17,l_touchdown17,l_runnerQB17,l_receptspg18,l_recydspg18,l_rectdpg18,l_rec1stpg18,l_ppr18
Todd Gurley II,LAR,RB,35,95,15.97,18.57,5.3,23.2,18.5,0.0,17.97,12.4,13.98875,30.1978571428571,0.0,0.0,0.0,103.571428571429,1.14285714285714,4.71428571428571,1.30612244897959,0.0,,0.0,0.0,0.0,,,,,,,0.0,3.42857142857143,31.4285714285714,0.0,1.57142857142857,11.7551020408163
Christian McCaffrey,Car,RB,3,2,46.2,10.77,29.63,38.03,53.67,22.83,33.5216666666667,29.23,32.9852083333333,28.0375,0.0,0.0,0.0,103.0,1.16666666666667,3.66666666666667,2.25000000000001,0.0,,0.0,0.0,0.0,,,,,,,0.0,5.83333333333333,50.8333333333333,0.333333333333333,3.0,34.0277777777777
Alvin Kamara,NO,RB,1,25,28.5,8.5,42.03,17.23,21.52,13.43,0.0,0.0,16.40125,27.958,0.0,0.0,0.0,0.0,0.0,0.0,0.183673469387755,0.0,,0.0,0.0,0.0,,,,,,,0.0,8.85714285714286,109.0,0.428571428571429,5.28571428571429,78.4489795918368
Saquon Barkley,NYG,RB,2,51,23.27,25.57,7.8,0.0,0.0,0.0,18.73,34.67,13.755,26.735625,0.0,0.0,0.0,35.4285714285714,0.428571428571429,2.42857142857143,1.0,0.0,,0.0,0.0,0.0,,,,,,,0.0,7.0,69.7142857142857,0.571428571428571,3.14285714285714,49.0
Ezekiel Elliott,Dal,RB,31,126,13.97,23.7,24.43,16.5,20.13,31.7,30.5,22.99,22.99,26.68,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,,,,,,,0.0,7.16666666666667,110.333333333333,1.0,6.33333333333333,51.3611111111112
Davante Adams,GB,WR,16,176,9.4,21.07,10.73,29.0,0.0,0.0,0.0,0.0,8.775,24.8933333333333,0.0,0.0,0.0,7.0,0.0,0.428571428571429,0.0,0.0,,0.0,0.0,0.0,,,,,,,0.0,2.28571428571429,16.0,0.0,0.571428571428571,5.22448979591839
Tyreek Hill,KC,WR,6,260,4.57,0.0,0.0,0.0,0.0,29.33,16.93,16.57,8.425,24.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0204081632653062,0.0,,0.0,0.0,0.0,,,,,,,0.0,2.0,18.5714285714286,0.142857142857143,1.14285714285714,4.0
James Conner,Pit,RB,29,156,11.03,13.1,11.23,33.73,11.5,36.3,19.4816666666667,29.83,20.7752083333333,24.4176923076923,0.0,0.0,0.0,86.0,0.857142857142857,5.0,0.73469387755102,0.0,,0.0,0.0,0.0,,,,,,,0.0,3.42857142857143,25.1428571428571,0.0,1.14285714285714,11.7551020408163
DeAndre Hopkins,Hou,WR,8,6,37.4,10.67,13.47,6.73,17.87,21.67,31.07,26.37,20.65625,24.00625,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,,0.0,0.0,0.0,,,,,,,0.0,1.4,28.6,0.4,1.0,2.0
Julio Jones,Atl,WR,15,63,20.07,32.07,31.53,10.57,7.8,21.2,16.2,29.13,21.07125,22.9375,0.0,0.0,0.0,17.1666666666667,0.166666666666667,1.0,0.0277777777777779,0.0,,0.0,0.0,0.0,,,,,,,0.0,1.33333333333333,10.8333333333333,0.0,0.666666666666667,1.77777777777777
