l_name,l_team,l_pos,l_proj,l_points1,l_points2,l_points3,l_points4,l_points5,l_points6,l_points7,l_points8,l_points9,l_ppgcurrent,l_pointspg18,l_passydpg18,l_passtdpg18,l_passintpg18,l_rushydpg18,l_rushtdpg18,l_rush1stpg18,l_receptspg18,l_recydspg18,l_rectdpg18,l_rec1stpg18,l_touchdown18,l_ppr18,opp_1,opp_2,opp_3,opp_4,opp_5,opp_6,opp_7,opp_8,opp_9,opp_10,opp_11,opp_12,opp_13,opp_14,opp_15,opp_16,opp_17,good_opp,med_opp,bad_opp
Alex Erickson,Cin,WR,175,8.27,2.93,3.67,4.40,3.47,13.83,23.43,14.47,9.31,9.30888888888889,10.339375,0,0,0,0,0,0,2,18.5,0.5,1.5,0.25,4,2,1,1,3,3,2,2,2,0,2,3,3,3,2,1,2,2,5,8,3
Rashard Higgins,Cle,WR,152,7.07,0,0,0,0,0,1.17833333333333,1.13,0,1.04203703703704,10.3176923076923,0,0,0,1.28571428571429,0,0.428571428571429,0.142857142857143,2.14285714285714,0,0.142857142857143,0,0.020408163265306,1,3,2,2,1,2,0,1,1,1,3,2,3,1,3,2,1,4,5,7
Vance McDonald,Pit,TE,123,6.67,27.53,2.67,0,6.27,1.33,7.41166666666667,5.27,17,8.23907407407407,10.2446666666667,0,0,0,0,0,0,2.42857142857143,46.5714285714286,0.142857142857143,2,0.0204081632653062,5.89795918367348,1,3,1,1,1,1,0,2,3,2,2,1,2,3,1,1,1,3,4,9
Ryan Switzer,Pit,WR,130,14.23,1.10,0,0,4.20,3.17,3.78333333333333,2.70,4,3.68703703703704,10.241875,0,0,0,3.5,0,0,1,11.8333333333333,0,0.166666666666667,0,1,1,2,1,1,2,2,0,2,2,2,2,1,2,3,1,3,2,2,9,5
John Brown,Buf,WR,142,30.20,16.80,10.80,12.60,15.00,17.08,21.53,21.60,12.07,17.52,9.879375,0,0,0,1.5,0,0,1.5,19,0,1,0,2.3,3,3,1,1,1,0,2,2,2,2,2,1,1,2,3,1,3,4,6,6
Duke Johnson,Hou,RB,77,14.90,3.10,4.67,13.07,9.43,18.73,9.87,16.30,16.83,11.8777777777778,9.85625,0,0,0,0,0,0,5.14285714285714,64.1428571428571,0.428571428571429,3.14285714285714,0.183673469387755,26.44897959183670,1,1,2,3,2,3,1,2,1,0,1,1,1,2,2,1,2,2,6,8
Tyrell Williams,Oak,WR,122,26.00,20.07,14.93,15.40,0,0,0,20.07,8.20,11.63,9.814375,0,0,0,0.428571428571429,0,0,0.857142857142857,13.4285714285714,0,0.428571428571429,0,0.734693877551020,1,1,3,2,1,0,1,3,3,2,1,3,1,1,2,2,1,4,4,8
Willie Snead IV,Bal,WR,204,14.73,1.33,9.13,16.07,10.40,5.20,0.20,8.15142857142857,4,7.69015873015873,9.625,0,0,0,0,0,0,1,9.57142857142857,0,0.428571428571429,0,1,2,3,1,2,3,1,2,0,1,1,3,2,1,1,3,2,3,5,5,6
Danny Amendola,Det,WR,220,26.93,1.10,8.47,0.00,9.125,1.40,21.00,19.73,5.93,10.4094444444444,9.54333333333333,0,0,0,7,0,0.5,2,9,0,0,0,4,3,2,2,1,0,1,3,3,3,1,1,2,1,3,3,1,1,6,3,7
Courtland Sutton,Den,WR,132,20.00,10.67,15.80,30.13,20.13,12.07,14.80,10.80,20.43,17.2033333333333,9.426875,0,0,0,0,0,0,0.666666666666667,6.16666666666667,0,0.333333333333333,0,0.444444444444445,3,1,1,2,2,1,1,2,2,0,3,1,2,3,1,3,3,5,5,6
Jamaal Williams,GB,RB,233,4.00,17.67,13.70,1.00,0,30.43,15.23,22.13,20.60,13.8622222222222,9.18125,0,0,0,0,0,0,4.14285714285714,53.2857142857143,0.571428571428571,3,0.326530612244897,17.16326530612240,2,1,2,1,2,3,2,3,2,3,0,1,2,3,2,1,3,5,7,4
Jimmy Graham,GB,TE,179,15.00,0,0,22.07,7.73,4.13,20.33,5.33,6.13,8.96888888888889,9.0875,0,0,0,0,0,0,3,30.7142857142857,0.285714285714286,1.57142857142857,0.0816326530612246,9,3,2,2,2,3,3,3,2,1,1,0,1,1,2,3,2,3,6,6,4
Latavius Murray,NO,RB,139,12.57,3.77,0.20,4.80,6.20,13.73,33.97,41.87,14.63875,14.63875,9.075,0,0,0,85.6666666666667,0.333333333333333,5.16666666666667,1.66666666666667,9,0,0,0.111111111111111,2.77777777777779,2,2,1,2,1,1,2,2,0,2,1,3,2,1,1,2,3,2,8,6
Donte Moncrief,Pit,WR,133,3.47,0,0,0,0,2.73,1.03333333333333,0,0,0.803703703703703,9.014375,0,0,0,0.833333333333333,0,0,0.666666667,6.5,0,0.166666667,0,0.444444444,2,3,3,3,2,3,0,1,1,1,3,2,2,3,2,2,2,6,7,3
Giovani Bernard,Cin,RB,240,8.90,3.47,2.97,6.37,8.07,4.73,2.27,8.03,0,4.97888888888889,8.9275,0,0,0,0.333333333333333,0.166666666666667,0.166666666666667,4.33333333333333,42.1666666666667,0.5,3.16666666666667,0.444444444444445,18.77777777777780,1,1,2,2,2,1,1,2,0,1,2,2,3,3,1,3,3,4,6,6
Royce Freeman,Den,RB,213,8.93,18.60,12.97,10.87,10.50,13.20,16.63,12.33,3.43,11.94,8.63571428571429,0,0,0,51.2,0.2,2.2,5.6,33.8,0.2,1.8,0.16,31.4,2,2,3,1,2,2,3,1,3,0,1,2,2,2,3,3,2,5,8,3
Carlos Hyde,Hou,RB,232,13.43,15.00,7.90,13.20,16.00,23.53,5.50,11.30,18.00,13.76,8.16428571428571,0,0,0,65.8571428571429,0.428571428571429,4.28571428571429,0.857142857142857,3.14285714285714,0,0.142857142857143,0.183673469387755,0.734693877551020,1,1,2,3,2,3,1,2,1,0,1,1,1,2,2,1,2,2,6,8
Ito Smith,Atl,RB,188,7.70,8.07,0,12.43,12.90,7.50,0.70,0,0,6.1625,7.97357142857143,0,0,0,45.5714285714286,0.142857142857143,1.71428571428571,3.57142857142857,25.2857142857143,0,1,0.0204081632653062,12.75510204081630,1,1,1,2,2,2,2,1,0,1,3,1,1,3,1,1,1,2,4,10
Tre'Quan Smith,NO,WR,171,13.73,9.27,0,0,0,0,0,0,0,2.875,7.96466666666667,0,0,0,4,0,0.142857142857143,0,0,0,0,0,0,3,2,2,1,3,2,1,3,0,3,3,2,3,1,2,1,2,6,6,4
Rex Burkhead,NE,RB,293,17.13,10.23,18.17,1.47,0,0,0,2.00,4.87,5.98555555555556,7.79125,0,0,0,1.28571428571429,0,0,3,59.4285714285714,0.285714285714286,1.57142857142857,0.0816326530612246,9,2,3,3,2,3,2,3,3,1,0,1,2,2,3,3,2,3,8,6,2
Marquez Valdes0Scantling,GB,WR,182,9.47,5.27,22.60,8.13,3.20,7.10,20.87,2.27,0.0,8.76777777777778,7.670625,0,0,0,0,0,0,,,,,,,1,3,1,2,1,3,3,1,2,2,0,1,3,2,1,3,3,6,4,6
C.J. Uzomah,Cin,TE,290,11.40,0,0,0,3.07,4.73,0,1.27,0,2.55875,7.329375,0,0,0,0,0,0,4,50.4,0.2,2.6,0.04,16,3,1,1,3,3,1,2,2,0,1,3,3,1,2,1,2,2,5,5,6
Damien Williams,KC,RB,53,21.20,11.00,0.00,0.00,7.30,12.53,2.63,8.00,20.70,9.26,7.079375,0,0,0,0.833333333333333,0,0,5.66666666666667,63.1666666666667,0.333333333333333,3,0.111111111111111,32.11111111111110,1,2,1,3,1,2,2,3,1,2,2,0,2,1,2,2,2,2,9,5
Rashaad Penny,Sea,RB,151,3.90,15.70,0,0,6.87,0,0,8.50,2.20,4.13,7.06428571428571,0,0,0,1.16666666666667,0,0,3.83333333333333,43.6666666666667,0.666666666666667,2.33333333333333,0.444444444444445,14.69444444444440,3,2,1,2,2,3,1,2,1,1,0,1,1,2,3,2,1,3,6,7
Geoff Swaim,Jax,TE,268,5.13,3.93,1.53,5.13,1.27,1.33,0,0,0,2.03555555555556,6.79222222222222,0,0,0,0,0,0,2.5,28,0.333333333333333,1.66666666666667,0.111111111111111,6.3,2,2,2,2,1,1,1,1,2,0,3,2,3,1,3,2,3,4,7,5
Dallas Goedert,Phi,TE,197,3.07,0,0,13.07,2.73,10.20,17.60,16.07,7.60,7.81555555555556,6.391875,0,0,0,0.8,0,0,5.6,54.4,0,2.4,0,31.4,2,2,3,3,1,2,3,1,3,0,1,3,2,1,2,3,1,6,5,5
Vernon Davis,Was,TE,174,16.93,5.93,6.00,1.33,0.00,0.00,0,0,0,3.35444444444444,5.96214285714286,0,0,0,0,0,0,2.8,43.4,0.2,2,0.04,7.8,2,3,3,1,1,2,1,2,1,0,1,3,1,3,2,1,3,5,4,7
Nick Vannett,Pit,TE,326,3.07,2.87,1.60,4.87,0,1.33,2.29,3.00,0,2.11444444444444,5.862,0,0,0,0,0,0,3,58.6,0.2,2.6,0.04,9,1,3,1,1,1,1,0,2,3,2,2,1,2,3,1,1,1,3,4,9
Raheem Mostert,SF,RB,363,7.00,30.83,6.90,0,4.40,2.30,0,12.00,0.20,7.07,5.53,0,0,0,77.25,0.5,3.5,3.5,20.5,0,0.75,0.25,12.3,1,3,2,0,3,2,3,3,2,1,2,3,1,1,2,2,1,5,6,5
Justin Jackson,LAC,RB,127,8.97,9.23,7.87,0,0,0,0,0,2.17,3.13777777777778,5.50769230769231,0,0,0,0,0,0,4.2,65.2,0.6,2.4,0.36,17.6,1,3,2,3,2,2,2,2,3,2,3,0,2,1,1,2,3,5,8,3
Jonnu Smith,Ten,TE,321,3.47,0,4.33,1.33,5.80,3.13,9.27,23.20,4.20,6.08111111111111,5.47692307692308,0,0,0,0,0,0,2.14285714285714,30.4285714285714,0.285714285714286,1.28571428571429,0.0816326530612246,4.59183673469387,2,3,2,2,1,2,1,3,1,2,0,2,3,3,2,1,2,4,8,4
Blake Jarwin,Dal,TE,280,14.60,3.47,1.20,7.27,0,3.40,10.07,5.71571428571429,12.80,6.50285714285714,5.466875,0,0,0,1.85714285714286,0,0.142857142857143,2.57142857142857,36.2857142857143,0.142857142857143,1.42857142857143,0.0204081632653062,6.61224489795918,1,2,2,1,3,1,2,0,1,2,3,1,1,3,2,2,2,3,7,6
Tyler Ervin,Jax,RB,479,3.80,2.60,0,0,0,0,0,5.20,0,1.28888888888889,5.45888888888889,0,0,0,0.571428571428571,0,0,2.85714285714286,55.5714285714286,0.285714285714286,2.14285714285714,0.0816326530612246,8.16326530612247,3,2,2,2,3,1,3,3,2,0,1,2,1,2,2,2,1,4,8,4
Tyler Higbee,LAR,TE,313,15.33,4.40,0,9.73,9.13,4.67,1.53,1.53,0,5.79,4.716875,0,0,0,11.7142857142857,0.142857142857143,0.142857142857143,1.14285714285714,4.71428571428571,0,0.285714285714286,0.0204081632653062,1.30612244897959,1,1,2,3,3,1,2,1,0,3,3,1,3,3,3,1,3,8,2,6
Malcolm Brown,LAR,RB,294,17.30,6.37,0.70,2.40,0.30,8.00,0,0,0,4.38375,4.30583333333333,0,0,0,0,0,0,2.85714285714286,44.5714285714286,0.428571428571429,1.57142857142857,0.183673469387755,8.16326530612247,3,1,3,1,1,1,2,3,0,2,2,1,2,1,2,1,2,3,6,7
Ryan Griffin,NYJ,TE,296,4.67,0,1.33,7.78142857142857,1.13,15.87,1.07,30.40,12.33,8.2868253968254,4.23785714285714,0,0,0,0,0,0,2,29.2857142857143,0.285714285714286,1.42857142857143,0.0816326530612246,4,1,2,1,0,2,3,1,2,2,1,2,3,1,2,1,3,1,3,6,7
Dontrell Hilliard,Cle,RB,302,18.13,0,0,13.50,6.40,15.33,8.89333333333333,11.40,5.20,8.76148148148148,4.03636363636364,0,0,0,0,0,0,3.42857142857143,40.2857142857143,0.285714285714286,2.28571428571429,0.0816326530612246,11.75510204081630,2,3,2,1,1,1,0,1,2,2,2,3,2,3,2,1,3,4,7,5
T.J. Logan,TB,RB,322,6.00,0,0,3.40,1.90,0,1.88333333333333,9.20,12.13,3.83481481481481,4.027,0,0,0,0,0,0,3.66666666666667,46.3333333333333,0.333333333333333,2.83333333333333,0.111111111111111,13.44444444444450,1,3,2,2,1,3,0,2,1,2,1,2,1,1,3,2,2,3,7,6
Kenjon Barner,Atl,RB,418,9.00,1.20,6.77,0,0,4.10,6.50,3.10,0,3.83375,4.02222222222222,0,0,0,10.5,0,0.5,6.25,66.75,0.25,3.5,0.0625,39.06,1,1,1,2,2,2,2,1,0,1,3,1,1,3,1,1,1,2,4,10
James O'Shaughnessy,Jax,TE,312,7.13,6.87,13.20,11.20,8.80,0,0,0,0,5.24444444444444,3.44785714285714,0,0,0,14.8,0.2,0.4,1.4,19.2,0,0.8,0.04,2.0,2,3,2,2,3,1,3,0,1,1,2,2,1,1,1,2,3,4,6,6
Wayne Gallman Jr.,NYG,RB,348,13.30,0,2.30,30.97,2.40,0,0,2.33,0,5.7,3.43533333333333,0,0,0,0,0,0,3.57142857142857,36.2857142857143,0.428571428571429,1.57142857142857,0.183673469387755,12.75510204081630,2,2,1,3,1,1,2,3,2,3,0,2,3,1,2,3,1,5,6,5
Maxx Williams,Ari,TE,345,3.00,3.40,0,3.40,1.47,16.27,2.33,,2.80,4.08375,3.33307692307692,0,0,0,0,0,0,0.833333333333333,18,0.166666666666667,0.666666666666667,0.0277777777777779,0.694444444444444,3,1,1,3,1,2,1,1,1,3,1,0,2,3,2,3,2,5,4,7
Hayden Hurst,Bal,TE,285,7.73,10.07,3.93,5.60,8.13,1.27,2.67,5.62857142857143,4.00,5.44761904761905,3.3225,0,0,0,0,0,0,2,20.1666666666667,0.333333333333333,1.33333333333333,0.111111111111111,4,2,3,2,2,3,1,3,0,1,1,2,2,,1,1,2,3,4,6,5
Nick Boyle,Bal,TE,359,6.73,2.93,9.87,1.60,0,3.20,3.33,3.95142857142857,15.80,5.26793650793651,2.95,0,0,0,9,0.4,0.6,1,14.4,0.2,0.8,0.36,1,2,3,2,2,3,1,3,0,1,1,2,2,1,1,1,2,3,4,6,6
Jordan Akins,Hou,TE,272,3.13,4.67,25.87,5.40,3.40,7.60,4.13,3.73,6.60,7.17,2.6875,0,0,0,0,0,0,2.83333333333333,24.8333333333333,0.166666666666667,1.66666666666667,0.0277777777777779,8.02777777777776,1,2,1,1,2,2,3,3,2,0,1,3,1,2,2,3,2,4,7,5
Mike Gesicki,Mia,TE,271,5.07,1.73,3.60,0,2.6,7.40,8.73,2.67,16.33,5.34777777777778,2.654375,0,0,0,0,0,0,2.8,25.4,0.4,1.2,0.16,7.8,1,1,3,1,0,2,1,3,1,3,1,2,2,1,1,1,1,3,3,10
Brandon Bolden,NE,RB,641,4.20,0,5.20,9.70,13.23,15.57,11.40,4.20,5.30,7.64444444444444,1.998125,0,0,0,0,0,0,3.83333333333333,52.3333333333333,0.166666666666667,2.66666666666667,0.0277777777777779,14.69444444444440,2,3,3,2,3,2,3,3,1,0,1,2,2,3,3,2,3,8,6,2
Anthony Sherman,KC,RB,451,3.00,0,0,0,1.20,0,2.70,0,0,0.766666666666667,1.81875,0,0,0,0.285714285714286,0,0,2.85714285714286,48.1428571428571,0.285714285714286,1.85714285714286,0.0816326530612246,8.16326530612247,1,2,1,3,1,2,2,3,1,2,2,0,2,1,2,2,2,2,9,5
