Player Name,l_team,l_pos,l_gp,l_points,l_owners,l_project,l_actual,l_passyds,l_passtd,l_passint,l_rushyds,l_rushtd,l_rush1st,l_recepts,l_recyds,l_rectd,l_rec1st,l_2pt,l_fumble,l_pointspg,l_passydpg,l_passtdpg,l_passintpg,l_rushydpg,l_rushtdpg,l_rush1stpg,l_receptspg,l_recydspg,l_rectdpg,l_rec1stpg
KeeSean Johnson,Ari,WR,7,37.37,0.01,295,265,0,0,0,3,0,0,17,151,0,8,1,0,5.33857142857143,0,0,0,0,0,0,1.71428571428571,17.2857142857143,0.142857142857143,1
Olabisi Johnson,Min,WR,7,36.93,0.05,278,266,0,0,0,0,0,0,13,134,1,7,0,0,5.27571428571429,0,0,0,-0.166666666666667,0.166666666666667,0.166666666666667,2.66666666666667,21.6666666666667,0,0.5
Jaylen Samuels,Pit,RB,5,36.93,0.14,191,267,35,0,1,50,1,3,13,83,0,7,0,0,7.386,0,0,0,51,0.333333333333333,2,1.66666666666667,9.33333333333333,0,0
Giovani Bernard,Cin,RB,7,36.77,0.06,268,268,0,0,0,49,0,3,16,112,0,4,0,0,5.25285714285714,0,0,0,0,0,0,2.16666666666667,29.3333333333333,0,1.5
Keke Coutee,Hou,WR,6,36.67,0.19,307,269,0,0,0,14,1,2,13,154,0,6,0,0,6.11166666666667,0,0,0,18,1,2,0,0,0,0
DeAndre Washington,Oak,RB,6,36.63,0,291,270,0,0,0,103,1,6,8,65,0,4,0,0,6.105,0,0,0,0,0,0,1.71428571428571,15.5714285714286,0.142857142857143,0.428571428571429
Justice Hill,Bal,RB,7,36.37,0.05,348,271,0,0,0,78,0,3,3,19,0,1,0,0,5.19571428571429,0,0,0,0,0,0,2.5,30.75,0.25,1
Bennie Fowler III,NYG,WR,5,35.93,0,336,273,0,0,0,20,0,1,16,134,0,8,0,0,7.186,0,0,0,0,0,0,1.14285714285714,14.7142857142857,0.142857142857143,1
Mark Walton,Mia,RB,5,35.57,0.21,247,274,0,0,0,137,0,6,9,58,0,3,0,0,7.114,0,0,0,27,0,0.666666666666667,3,11.3333333333333,0.333333333333333,0.666666666666667
Parris Campbell,Ind,WR,4,35.13,0.03,299,275,0,0,0,7,0,0,10,62,1,3,0,1,8.7825,0,0,0,0,0,0,1.71428571428571,21.8571428571429,0,1
Josh Hill,NO,TE,7,35.07,0.01,311,276,0,0,0,0,0,0,12,121,1,7,0,0,5.01,0,0,0,8.14285714285714,0,0.428571428571429,2,8.71428571428571,0,0.285714285714286
Malcolm Brown,LAR,RB,6,35.07,0.2,341,277,0,0,0,154,2,10,1,10,0,0,0,0,5.845,0,0,0,0,0,0,1.71428571428571,20.7142857142857,0,0.857142857142857
Dare Ogunbowale,TB,RB,6,34.47,0.01,263,278,0,0,0,-1,1,1,16,130,0,3,0,0,5.745,0,0,0,0,0,0,0.2,0.8,0,0
Pharoh Cooper,Ari,WR,3,32.90,0,276,281,0,0,0,2,0,0,9,78,0,4,0,0,10.9666666666667,0,0,0,1.42857142857143,0,0.142857142857143,1.28571428571429,23,0,0.571428571428571
Devin Singletary,Buf,RB,3,32.17,0.71,200,282,0,0,0,153,1,6,5,28,0,0,0,0,10.7233333333333,0,0,0,18.1666666666667,0,0.5,1.16666666666667,12.1666666666667,0,0.166666666666667
Tavon Austin,Dal,WR,5,31.90,0,310,283,0,0,0,37,1,2,8,90,0,5,0,0,6.38,0,0,0,0,0,0,2.16666666666667,23.8333333333333,0,0.666666666666667
O.J. Howard,TB,TE,6,31.73,0.52,271,284,0,0,0,0,0,0,13,176,0,9,0,1,5.28833333333333,0,0,0,24.5,0.25,0.5,0.75,8.5,0,0.25
Hunter Renfrow,Oak,WR,6,31.67,0.01,302,285,0,0,0,0,0,0,14,115,0,10,0,0,5.27833333333333,0,0,0,9,0,0.4,2,20,0,1
Jeff Wilson Jr.,SF,RB,4,31.20,0.01,359,286,0,0,0,72,4,8,0,0,0,0,0,0,7.8,0,0,0,47.3333333333333,0,1.66666666666667,2,4.33333333333333,0,0
Jakobi Meyers,NE,WR,6,31.13,0.05,365,287,0,0,0,0,0,0,13,167,0,7,0,0,5.18833333333333,0,0,0,11.8,0,0.4,1,4.2,0,0.2
Rhett Ellison,NYG,TE,7,30.27,0,333,289,0,0,0,0,0,0,12,109,1,3,0,0,4.32428571428571,0,0,0,0,0,0,1,19,0.166666666666667,0.666666666666667
Vernon Davis,Was,TE,4,30.20,0.05,250,290,0,0,0,0,0,0,10,123,1,4,0,0,7.55,0,0,0,7.16666666666667,0.333333333333333,1,0.5,4.83333333333333,0,0.333333333333333
Maxx Williams,Ari,TE,7,29.87,0,330,291,0,0,0,0,0,0,8,103,1,7,0,0,4.26714285714286,0,0,0,3.33333333333333,0,0,0.333333333333333,2.33333333333333,0.166666666666667,0.166666666666667
Anthony Miller,Chi,WR,6,29.50,0.12,219,292,0,0,0,-1,0,0,13,144,0,9,0,1,4.91666666666667,0,0,0,6.83333333333333,0.166666666666667,0.5,1.5,11,0,0.333333333333333
Melvin Gordon III,LAC,RB,3,29.37,0.96,150,293,0,0,0,81,0,2,9,34,1,2,0,1,9.79,0,0,0,0,0,0,1.57142857142857,16,0,0.857142857142857
Tajae Sharpe,Ten,WR,7,29.33,0,350,294,0,0,0,0,0,0,7,125,1,6,0,0,4.19,0,0,0,13.8333333333333,0,0.333333333333333,1.33333333333333,5.83333333333333,0,0.333333333333333
Irv Smith Jr.,Min,TE,7,29.20,0.01,312,295,0,0,0,0,0,0,12,153,0,7,0,0,4.17142857142857,0,0,0,0,0,0,1.6,9,0.2,0.8
Dante Pettis,SF,WR,6,29.17,0.18,252,296,16,0,0,0,0,0,9,83,1,6,0,0,4.86166666666667,0,0,0,4.85714285714286,0,0.142857142857143,0.285714285714286,2,0,0.142857142857143
Demaryius Thomas,NYJ,WR,4,29.00,0.06,213,297,0,0,0,0,0,0,12,150,0,7,0,0,7.25,0,0,0,0,0,0,2.6,13.6,0,1
Isaiah McKenzie,Buf,WR,6,28.87,0,328,299,0,0,0,14,0,1,7,112,1,4,0,0,4.81166666666667,0,0,0,9,0,0.666666666666667,1.5,6.66666666666667,0,0.166666666666667
Dion Lewis,Ten,RB,7,28.77,0.14,335,300,0,0,0,57,0,3,14,61,0,2,0,0,4.11,0,0,0,0,0,0,1.28571428571429,17,0,0.714285714285714
Jarius Wright,Car,WR,6,28.20,0,322,301,0,0,0,0,0,0,12,138,0,7,0,0,4.7,0,0,0,22.3333333333333,0,0.333333333333333,0.5,3.5,0,0.166666666666667
Nick Boyle,Bal,TE,7,27.67,0,298,302,0,0,0,0,0,0,12,145,0,6,0,0,3.95285714285714,0,0,0,1.28571428571429,0,0.142857142857143,0.857142857142857,2,0.142857142857143,0.142857142857143
Kenjon Barner,Atl,RB,5,27.57,0,408,304,0,0,0,0,0,0,1,4,0,0,0,0,5.514,0,0,0,17.5,0,1.16666666666667,0.166666666666667,2.33333333333333,0,0
David Moore,Sea,WR,5,27.53,0.01,320,305,0,0,0,0,0,0,7,98,1,6,0,0,5.506,0,0,0,0,0,0,1.14285714285714,15.4285714285714,0,0.571428571428571
Jonnu Smith,Ten,TE,7,27.33,0.04,329,306,0,0,0,10,0,1,9,161,0,4,0,0,3.90428571428571,0,0,0,7.42857142857143,0,0.285714285714286,0.285714285714286,2,0.142857142857143,0.142857142857143
Cody Latimer,NYG,WR,6,27.13,0,331,307,0,0,0,0,0,0,10,137,0,8,0,0,4.52166666666667,0,0,0,0,0,0,1.5,12.3333333333333,0,0.5
J.D. McKissic,Det,RB,6,26.77,0.24,198,310,0,0,0,109,0,3,7,73,0,1,0,0,4.46166666666667,0,0,0,0,0,0,2.16666666666667,10.8333333333333,0,0.166666666666667
Mike Gesicki,Mia,TE,6,26.53,0.02,237,311,0,0,0,0,0,0,13,143,0,4,0,0,4.42166666666667,0,0,0,0,0,0,1.14285714285714,10,0,0.714285714285714
