Player Name,l_team,l_pos,l_gp,l_points,l_owners,l_actual,l_passyds,l_passtd,l_passint,l_rushyds,l_rushtd,l_rush1st,l_recepts,l_recyds,l_rectd,l_rec1st,l_2pt,l_fumble,l_pointspg,l_passydpg,l_passtdpg,l_passintpg,l_rushydpg,l_rushtdpg,l_rush1stpg,l_receptspg,l_recydspg,l_rectdpg,l_rec1stpg,l_touchdown,l_ppr
Cooper Kupp,LAR,WR,8,156.63,99%,157,0,0,0,25,0,3,40,566,6,25,0,0,19.57875,0,0,0,0,0,0,1.16666666666667,10.1666666666667,0,0.666666666666667,0,1.36111111111112
Kenny Stills,Hou,WR,15,155.59,54%,159,3,1,0,0,0,0,37,553,6,27,1,0,10.3726666666667,0,0,0,0,0,0,0.5,4.16666666666667,0.166666666666667,0.333333333333333,0.0277777777777779,0.3
Chester Rogers,Ind,WR,16,155.43,0%,160,0,0,0,-4,0,0,53,485,2,28,2,0,9.714375,0,0,0,14.1666666666667,0.166666666666667,0.333333333333333,0,0,0,0,0.0277777777777779,0
Willie Snead IV,Bal,WR,16,154.00,4%,164,0,0,0,13,0,1,62,651,1,37,0,0,9.625,0,0,0,0,0,0,1,9.57142857142857,0,0.428571428571429,0,1
Michael Crabtree,Ari,WR,16,153.47,0%,168,0,0,0,0,0,0,54,607,3,35,0,0,9.591875,0,0,0,0,0,0,0.75,13.75,0,0.75,0,0.56
Anthony Miller,Chi,WR,15,153.02,11%,169,8,0,0,26,0,0,33,423,7,19,0,0,10.2013333333333,0,0,0,0,0,0,0,0,0,0,0,0
Jakeem Grant,Mia,WR,10,152.67,1%,170,0,0,0,5,0,0,21,268,2,13,0,0,15.267,0,0,0,0,0,0,0.6,10,0,0.6,0,0.4
Josh Gordon,NE,WR,12,152.13,46%,171,0,0,0,0,0,0,41,737,4,30,0,0,12.6775,0,0,0,0,0,0,0.666666666666667,6.33333333333333,0,0.333333333333333,0,0.444444444444445
Courtland Sutton,Den,WR,16,150.83,91%,174,0,0,0,-1,0,0,42,704,4,30,0,0,9.426875,0,0,0,0,0,0,0.666666666666667,6.16666666666667,0,0.333333333333333,0,0.444444444444445
Christian Kirk,Ari,WR,12,149.23,71%,177,0,0,0,35,0,2,43,590,3,21,0,0,12.4358333333333,0,0,0,0.428571428571429,0,0.285714285714286,0.428571428571429,4.57142857142857,0,0.142857142857143,0,0.183673469387755
Devin Funchess,Ind,WR,14,147.60,6%,180,0,0,0,0,0,0,44,549,4,35,0,0,10.5428571428571,0,0,0,1.5,0.166666666666667,0.166666666666667,0.333333333333333,1,0,0,0.0277777777777779,0.111111111111111
Donte Moncrief,Pit,WR,16,144.23,9%,186,0,0,0,0,0,0,48,668,3,29,0,1,9.014375,0,0,0,0.833333333333333,0,0,0.666666666666667,6.5,0,0.166666666666667,0,0.444444444444445
Danny Amendola,Det,WR,15,143.15,8%,188,28,1,0,-2,0,0,59,575,1,27,0,0,9.54333333333333,0,0,0,7,0,0.5,2,9,0,0,0,4
Kendrick Bourne,SF,WR,16,136.47,0%,197,0,0,0,0,0,0,42,487,4,30,0,0,8.529375,0,0,0,0,0,0,0.333333333333333,8.66666666666667,0,0.333333333333333,0,0.111111111111111
Marvin Jones Jr.,Det,WR,9,135.87,87%,198,0,0,0,0,0,0,35,508,5,27,0,0,15.0966666666667,0,0,0,18,0,0,3,20,0,1,0,9
Rashard Higgins,Cle,WR,13,134.13,1%,199,0,0,0,0,0,0,39,572,4,27,0,1,10.3176923076923,0,0,0,1.28571428571429,0,0.428571428571429,0.142857142857143,2.14285714285714,0,0.142857142857143,0,0.020408163265306
Sammy Watkins,KC,WR,10,129.80,79%,207,0,0,0,52,0,2,40,519,3,24,0,0,12.98,0,0,0,0,0,0,0,0,0,0,0,0
Josh Doctson,Min,WR,15,126.47,0%,211,0,0,0,0,0,0,44,532,2,31,0,0,8.43133333333333,0,0,0,0,0,0,0.333333333333333,4.5,0,0.166666666666667,0,0.111111111111111
Marquez Valdes-Scantling,GB,WR,16,122.73,71%,217,0,0,0,29,0,2,38,581,2,23,0,0,7.670625,0,0,0,0,0,0,0.166666666666667,4,0,0.166666666666667,0,0.027777777777778
Josh Reynolds,LAR,WR,16,120.60,0%,221,0,0,0,8,0,1,29,402,5,23,0,0,7.5375,0,0,0,0,0,0,0.5,5.75,0,0.25,0,0.3
Will Fuller V,Hou,WR,7,120.53,66%,222,0,0,0,0,0,0,32,503,4,23,0,0,17.2185714285714,0,0,0,0,0,0,1.5,10,0,0,0,2.3
Dante Pettis,SF,WR,12,119.63,16%,224,0,0,0,-2,0,0,27,467,5,19,0,0,9.96916666666667,0,0,0,0,0,0,0.5,-0.166666666666667,0,0.166666666666667,0,0.3
Tre'Quan Smith,NO,WR,15,119.47,4%,225,0,0,0,0,0,0,28,427,5,23,0,0,7.96466666666667,0,0,0,4,0,0.142857142857143,0,0,0,0,0,0
Seth Roberts,Bal,WR,15,119.43,0%,226,0,0,0,5,0,1,45,494,2,24,0,0,7.962,0,0,0,0,0,0,0.142857142857143,3,0,0.142857142857143,0,0.020408163265306
David Moore,Sea,WR,16,116.97,1%,230,0,0,0,5,0,0,26,445,5,19,0,0,7.310625,0,0,0,0,0,0,0.142857142857143,2.85714285714286,0,0.142857142857143,0,0.020408163265306
Chris Hogan,Car,WR,16,116.47,0%,231,0,0,0,0,0,0,35,532,3,22,0,0,7.279375,0,0,0,0.428571428571429,0,0,0.285714285714286,2.14285714285714,0,0,0,0.081632653061225
